year,tag,count
2004,rap,447
2004,rb,444
2004,rock,1204
2005,country,980
2005,misc,339
2005,pop,1839
2005,rap,509
2005,rb,485
2005,rock,1281
2006,country,1126
2006,misc,339
2006,pop,2032
2006,rap,546
2006,rb,430
2006,rock,1312
2007,country,1160
2007,misc,364
2007,pop,1835
2007,rap,528
2007,rb,414
2007,rock,1563
2008,country,1360
2008,misc,357
2008,pop,1961
2008,rap,615
2008,rb,531
2008,rock,1622
2009,country,1355
2009,misc,473
2009,pop,1977
2009,rap,682
2009,rb,562
2009,rock,1984
2010,country,1593
2010,misc,537
2010,pop,1831
2010,rap,871
2010,rb,593
2010,rock,2080
2011,country,1709
2011,misc,608
2011,pop,1970
2011,rap,1751
2011,rb,774
2011,rock,2360
2012,country,1685
2012,misc,1550
2012,pop,2149
2012,rap,2624
2012,rb,785
2012,rock,2619
2013,country,2410
2013,misc,20740
2013,pop,2137
2013,rap,4038
2013,rb,925
2013,rock,3128
2014,country,2968
2014,misc,12301
2014,pop,1824
2014,rap,4118
2014,rb,1687
2014,rock,3903
2015,country,4051
2015,misc,7257
2015,pop,12764
2015,rap,4187
2015,rb,3475
2015,rock,4684
2016,country,4344
2016,misc,6350
2016,pop,2403
2016,rap,5323
2016,rb,5361
2016,rock,5737
2017,country,4591
2017,misc,7343
2017,pop,3082
2017,rap,7109
2017,rb,7128
2017,rock,6461
2018,country,5195
2018,misc,2406
2018,pop,4655
2018,rap,9992
2018,rb,9709
2018,rock,6648
2019,country,5861
2019,misc,2749
2019,pop,5576
2019,rap,11956
2019,rb,11817
2019,rock,7130
2020,country,6232
2020,misc,2962
2020,pop,6815
2020,rap,13938
2020,rb,13666
2020,rock,7177
2021,country,6299
2021,misc,2798
2021,pop,6593
2021,rap,11316
2021,rb,11327
2021,rock,6757
2022,country,1884
2022,misc,790
2022,pop,1387
2022,rap,2550
2022,rb,2268
2022,rock,1512
2023,country,3
2023,misc,6
2023,pop,8
2023,rap,18
2023,rb,7
2023,rock,14
2024,country,1
2024,misc,2
2024,rb,1
